Legislation Number,Title,Sponsor,Date of Introduction
H.R. 4921,STB Information Security Improvement Act,"Mitchell, Paul [Rep.-R-MI-10]",02/05/2018
H.R. 4913,"To designate the facility of the United States Postal Service located at 816 East Salisbury Parkway in Salisbury, Maryland, as the ""Sgt. Maj. Wardell B. Turner Post Office Building"".","Harris, Andy [Rep.-R-MD-1]",02/02/2018
H.R. 4910,Veterans Cemetery Benefit Correction Act,"Scott, Austin [Rep.-R-GA-8]",01/30/2018
H.R. 4890,"To designate the facility of the United States Postal Service located at 9801 Apollo Drive in Upper Marlboro, Maryland, as the ""Wayne K. Curry Post Office Building"".","Brown, Anthony G. [Rep.-D-MD-4]",01/29/2018
H.R. 4854,Justice Served Act of 2018,"Carter, John R. [Rep.-R-TX-31]",01/19/2018
H.R. 4851,Kennedy-King National Commemorative Site Act,"Carson, Andre [Rep.-D-IN-7]",01/19/2018
H.R. 4840,"To designate the facility of the United States Postal Service located at 567 East Franklin Street in Oviedo, Florida, as the ""Sergeant First Class Alwyn Crendall Cashe Post Office Building"".","Murphy, Stephanie N. [Rep.-D-FL-7]",01/18/2018
H.R. 4819,DELTA Act,"Fortenberry, Jeff [Rep.-R-NE-1]",01/18/2018
H.R. 4743,Small Business 7(a) Lending Oversight Reform Act of 2018,"Chabot, Steve [Rep.-R-OH-1]",01/09/2018
H.R. 4722,"To designate the facility of the United States Postal Service located at 111 Market Street in Saugerties, New York, as the ""Maurice D. Hinchey Post Office Building"".","Faso, John J. [Rep.-R-NY-19]",12/21/2017
H.R. 4708,Department of Homeland Security Blue Campaign Authorization Act,"McCaul, Michael T. [Rep.-R-TX-10]",12/21/2017
H.R. 4689,To authorize early repayment of obligations to the Bureau of Reclamation within the Northport Irrigation District in the State of Nebraska.,"Smith, Adrian [Rep.-R-NE-3]",12/19/2017
H.R. 4685,"To designate the facility of the United States Postal Service located at 515 Hope Street in Bristol, Rhode Island, as the ""First Sergeant P. Andrew McKenna Jr. Post Office"".","Cicilline, David N. [Rep.-D-RI-1]",12/19/2017
H.R. 4661,"United States Fire Administration, AFG, and SAFER Program Reauthorization Act of 2017","Comstock, Barbara [Rep.-R-VA-10]",12/15/2017
H.R. 4646,"To designate the facility of the United States Postal Service located at 1900 Corporate Drive in Birmingham, Alabama, as the ""Lance Corporal Thomas E. Rivers, Jr. Post Office Building"".","Palmer, Gary J. [Rep.-R-AL-6]",12/14/2017
H.R. 4645,East Rosebud Wild and Scenic Rivers Act,"Gianforte, Greg [Rep.-R-MT-At Large]",12/14/2017
H.R. 4641,To authorize the President to award the Medal of Honor to John L. Canley for acts of valor during the Vietnam War while a member of the Marine Corps.,"Brownley, Julia [Rep.-D-CA-26]",12/13/2017
H.R. 4574,"To designate the facility of the United States Postal Service located at 108 West Schick Road in Bloomingdale, Illinois, as the ""Bloomingdale Veterans Memorial Post Office Building"".","Krishnamoorthi, Raja [Rep.-D-IL-8]",12/06/2017
H.R. 4547,Strengthening Protections for Social Security Beneficiaries Act of 2018,"Johnson, Sam [Rep.-R-TX-3]",12/05/2017
H.R. 4533,"To designate the health care system of the Department of Veterans Affairs in Lexington, Kentucky, as the ""Lexington VA Health Care System"" and to make certain other designations.","Barr, Andy [Rep.-R-KY-6]",12/04/2017
H.R. 4528,"To make technical amendments to certain marine fish conservation statutes, and for other purposes.","Soto, Darren [Rep.-D-FL-9]",12/01/2017
H.R. 4463,"To designate the facility of the United States Postal Service located at 6 Doyers Street in New York, New York, as the ""Mabel Lee Memorial Post Office"".","Velazquez, Nydia M. [Rep.-D-NY-7]",11/28/2017
H.R. 4431,Correcting Miscalculations in Veterans' Pensions Act,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",11/16/2017
H.R. 4407,"An act to designate the facility of the United States Postal Service located at 3s101 Rockwell Street in Warrenville, Illinois, as the ""Corporal Jeffrey Allen Williams Post Office Building"".","Hultgren, Randy [Rep.-R-IL-14]",11/15/2017
H.R. 4406,"To designate the facility of the United States Postal Service located at 99 Macombs Place in New York, New York, as the ""Tuskegee Airmen Post Office Building"".","Espaillat, Adriano [Rep.-D-NY-13]",11/15/2017
H.R. 4374,"To amend the Federal Food, Drug, and Cosmetic Act to authorize additional emergency uses for medical products to reduce deaths and severity of injuries caused by agents of war, and for other purposes.","Walden, Greg [Rep.-R-OR-2]",11/13/2017
H.R. 4326,"To designate the facility of the United States Postal Service located at 200 West North Street in Normal, Illinois, as the ""Sgt. Josh Rodgers Post Office"".","LaHood, Darin [Rep.-R-IL-18]",11/09/2017
H.R. 4318,Miscellaneous Tariff Bill Act of 2018,"Brady, Kevin [Rep.-R-TX-8]",11/09/2017
H.R. 4301,"To designate the facility of the United States Postal Service located at 201 Tom Hall Street in Fort Mill, South Carolina, as the ""J. Elliott Williams Post Office Building"".","Norman, Ralph [Rep.-R-SC-5]",11/08/2017
H.R. 4300,"Admiral Lloyd R. ""Joe"" Vasey Pacific War Commemorative Display Establishment Act","Hanabusa, Colleen [Rep.-D-HI-1]",11/08/2017
H.R. 4285,"To designate the facility of the United States Postal Service located at 123 Bridgeton Pike in Mullica Hill, New Jersey, as the ""James C. 'Billy' Johnson Post Office Building"".","LoBiondo, Frank A. [Rep.-R-NJ-2]",11/07/2017
H.R. 4254,Women in Aerospace Education Act,"Knight, Stephen [Rep.-R-CA-25]",11/06/2017
H.R. 4227,Vehicular Terrorism Prevention Act of 2018,"Latta, Robert E. [Rep.-R-OH-5]",11/02/2017
H.R. 4174,Foundations for Evidence-Based Policymaking Act of 2018,"Ryan, Paul D. [Rep.-R-WI-1]",10/31/2017
H.R. 4111,Spurring Business in Communities Act of 2017,"McMorris Rodgers, Cathy [Rep.-R-WA-5]",10/24/2017
H.R. 4042,"To designate the facility of the United States Postal Service located at 1415 West Oak Street, in Kissimmee, Florida, as the ""Borinqueneers Post Office Building"".","Soto, Darren [Rep.-D-FL-9]",10/12/2017
H.R. 4032,"Gila River Indian Community Federal Rights-of-Way, Easements and Boundary Clarification Act","O'Halleran, Tom [Rep.-D-AZ-1]",10/12/2017
H.R. 4009,Smithsonian National Zoological Park Central Parking Facility Authorization Act,"Johnson, Sam [Rep.-R-TX-3]",10/11/2017
H.R. 3996,Protecting Access to the Courts for Taxpayers Act,"Issa, Darrell E. [Rep.-R-CA-49]",10/10/2017
H.R. 3979,Keep America's Refuges Operational Act,"Jeffries, Hakeem S. [Rep.-D-NY-8]",10/05/2017
H.R. 3949,VALOR Act,"Khanna, Ro [Rep.-D-CA-17]",10/04/2017
H.R. 3946,"An Act to name the Department of Veterans Affairs community-based outpatient clinic in Statesboro, Georgia, the Ray Hendrix Department of Veterans Affairs Clinic.","Allen, Rick W. [Rep.-R-GA-12]",10/04/2017
H.R. 3893,"To designate the facility of the United States Postal Service located at 100 Mathe Avenue in Interlachen, Florida, as the ""Robert H. Jenkins, Jr. Post Office"".","Yoho, Ted S. [Rep.-R-FL-3]",09/28/2017
H.R. 3834,9/11 Heroes Medal of Valor Act of 2017,"Crowley, Joseph [Rep.-D-NY-14]",09/26/2017
H.R. 3823,Disaster Tax Relief and Airport and Airway Extension Act of 2017,"Brady, Kevin [Rep.-R-TX-8]",09/25/2017
H.R. 3821,"To designate the facility of the United States Postal Service located at 430 Main Street in Clermont, Georgia, as the ""Zack T. Addington Post Office"".","Collins, Doug [Rep.-R-GA-9]",09/25/2017
H.R. 3819,Department of Veterans Affairs Expiring Authorities Act of 2017,"Mast, Brian J. [Rep.-R-FL-18]",09/25/2017
H.R. 3759,RAISE Family Caregivers Act,"Harper, Gregg [Rep.-R-MS-3]",09/13/2017
H.R. 3732,Emergency Aid to American Survivors of Hurricanes Irma and Jose Overseas Act,"Reichert, David G. [Rep.-R-WA-8]",09/11/2017
H.R. 3731,Secret Service Recruitment and Retention Act of 2018,"Katko, John [Rep.-R-NY-24]",09/11/2017
H.R. 3663,"To designate the medical center of the Department of Veterans Affairs in Huntington, West Virginia, as the Hershel ""Woody"" Williams VA Medical Center.","Jenkins, Evan H. [Rep.-R-WV-3]",08/22/2017
H.R. 3656,"To amend title 38, United States Code, to provide for a consistent eligibility date for provision of Department of Veterans Affairs memorial headstones and markers for eligible spouses and dependent children of veterans whose remains are unavailable.","Banks, Jim [Rep.-R-IN-3]",08/18/2017
H.R. 3655,"To designate the facility of the United States Postal Service located at 1300 Main Street in Belmar, New Jersey, as the ""Dr. Walter S. McAfee Post Office Building"".","Smith, Christopher H. [Rep.-R-NJ-4]",08/15/2017
H.R. 3638,"To designate the facility of the United States Postal Service located at 1100 Kings Road in Jacksonville, Florida, as the ""Rutledge Pearson Post Office Building"".","Lawson, Al, Jr. [Rep.-D-FL-5]",08/01/2017
H.R. 3562,"To amend title 38, United States Code, to authorize the Secretary of Veterans Affairs to furnish assistance for adaptations of residences of veterans in rehabilitation programs under chapter 31 of such title, and for other purposes.","Arrington, Jodey C. [Rep.-R-TX-19]",07/28/2017
H.R. 3460,"To designate the United States courthouse located at 323 East Chapel Hill Street in Durham, North Carolina, as the ""John Hervey Wheeler United States Courthouse"".","Butterfield, G. K. [Rep.-D-NC-1]",07/27/2017
H.R. 3445,AGOA and MCA Modernization Act,"Royce, Edward R. [Rep.-R-CA-39]",07/27/2017
H.R. 3398,REAL ID Act Modification for Freely Associated States Act,"Young, Don [Rep.-R-AK-At Large]",07/25/2017
H.R. 3383,"To designate the flood control project in Sedgwick County, Kansas, commonly known as the Wichita-Valley Center Flood Control Project, as the ""M.S. 'Mitch' Mitchell Floodway"".","Estes, Ron [Rep.-R-KS-4]",07/25/2017
H.R. 3369,"To designate the facility of the United States Postal Service located at 225 North Main Street in Spring Lake, North Carolina, as the ""Howard B. Pate, Jr. Post Office"".","Hudson, Richard [Rep.-R-NC-8]",07/24/2017
H.R. 3364,Countering America's Adversaries Through Sanctions Act,"Royce, Edward R. [Rep.-R-CA-39]",07/24/2017
H.R. 3359,Cybersecurity and Infrastructure Security Agency Act of 2018,"McCaul, Michael T. [Rep.-R-TX-10]",07/24/2017
H.R. 3342,Sanctioning the Use of Civilians as Defenseless Shields Act,"Gallagher, Mike [Rep.-R-WI-8]",07/20/2017
H.R. 3298,Wounded Officers Recovery Act of 2017,"Barton, Joe [Rep.-R-TX-6]",07/19/2017
H.R. 3249,Project Safe Neighborhoods Grant Program Authorization Act of 2018,"Comstock, Barbara [Rep.-R-VA-10]",07/14/2017
H.R. 3243,FITARA Enhancement Act of 2017,"Connolly, Gerald E. [Rep.-D-VA-11]",07/14/2017
H.R. 3230,"To designate the facility of the United States Postal Service located at 915 Center Avenue in Payette, Idaho, as the ""Harmon Killebrew Post Office Building"".","Labrador, Raul R. [Rep.-R-ID-1]",07/13/2017
H.R. 3218,Harry W. Colmery Veterans Educational Assistance Act of 2017,"Roe, David P. [Rep.-R-TN-1]",07/13/2017
H.R. 3210,Securely Expediting Clearances Through Reporting Transparency Act of 2018,"Knight, Stephen [Rep.-R-CA-25]",07/12/2017
H.R. 3184,"To designate the facility of the United States Postal Service located at 180 McCormick Road in Charlottesville, Virginia, as the ""Captain Humayun Khan Post Office"".","Garrett, Thomas A., Jr. [Rep.-R-VA-5]",07/11/2017
H.R. 3183,"To designate the facility of the United States Postal Service located at 13683 James Madison Highway in Palmyra, Virginia, as the ""U.S. Navy Seaman Dakota Kyle Rigsby Post Office"".","Garrett, Thomas A., Jr. [Rep.-R-VA-5]",07/11/2017
H.R. 3122,Veterans Care Financial Protection Act of 2017,"Cartwright, Matt [Rep.-D-PA-17]",06/29/2017
H.R. 3110,Financial Stability Oversight Council Insurance Member Continuity Act,"Hultgren, Randy [Rep.-R-IL-14]",06/29/2017
H.R. 3109,"To designate the facility of the United States Postal Service located at 1114 North 2nd Street in Chillicothe, Illinois, as the ""Sr. Chief Ryan Owens Post Office Building"".","LaHood, Darin [Rep.-R-IL-18]",06/29/2017
H.R. 3031,TSP Modernization Act of 2017,"Cummings, Elijah E. [Rep.-D-MD-7]",06/23/2017
H.R. 2989,Frederick Douglass Bicentennial Commission Act,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",06/21/2017
H.R. 2979,"To designate the facility of the United States Postal Service located at 390 West 5th Street in San Bernardino, California, as the ""Jack H. Brown Post Office Building"".","Aguilar, Pete [Rep.-D-CA-31]",06/21/2017
H.R. 2873,"To designate the facility of the United States Postal Service located at 207 Glenside Avenue in Wyncote, Pennsylvania, as the ""Staff Sergeant Peter Taub Post Office Building"".","Boyle, Brendan F. [Rep.-D-PA-13]",06/12/2017
H.R. 2815,"To designate the facility of the United States Postal Service located at 30 East Somerset Street in Raritan, New Jersey, as the ""Gunnery Sergeant John Basilone Post Office"".","Lance, Leonard [Rep.-R-NJ-7]",06/07/2017
H.R. 2810,National Defense Authorization Act for Fiscal Year 2018,"Thornberry, Mac [Rep.-R-TX-13]",06/07/2017
H.R. 2772,SEA Act of 2018,"Taylor, Scott [Rep.-R-VA-2]",06/06/2017
H.R. 2673,"To designate the facility of the United States Postal Service located at 514 Broadway Street in Pekin, Illinois, as the ""Lance Corporal Jordan S. Bastean Post Office"".","Bustos, Cheri [Rep.-D-IL-17]",05/25/2017
H.R. 2672,"To designate the facility of the United States Postal Service located at 520 Carter Street in Fairview, Illinois, as the ""Sgt. Douglas J. Riney Post Office"".","Bustos, Cheri [Rep.-D-IL-17]",05/25/2017
H.R. 2615,Gulf Islands National Seashore Land Exchange Act,"Palazzo, Steven M. [Rep.-R-MS-4]",05/23/2017
H.R. 2611,Little Rock Central High School National Historic Site Boundary Modification Act,"Hill, J. French [Rep.-R-AR-2]",05/23/2017
H.R. 2606,Stigler Act Amendments of 2018,"Cole, Tom [Rep.-R-OK-4]",05/23/2017
H.R. 2519,The American Legion 100th Anniversary Commemorative Coin Act,"Walz, Timothy J. [Rep.-D-MN-1]",05/18/2017
H.R. 2464,"To designate the facility of the United States Postal Service located at 25 New Chardon Street Lobby in Boston, Massachusetts, as the ""John Fitzgerald Kennedy Post Office"".","Lynch, Stephen F. [Rep.-D-MA-8]",05/16/2017
H.R. 2454,Department of Homeland Security Data Framework Act of 2018,"Hurd, Will [Rep.-R-TX-23]",05/16/2017
H.R. 2430,FDA Reauthorization Act of 2017,"Walden, Greg [Rep.-R-OR-2]",05/16/2017
H.R. 2422,Action for Dental Health Act of 2018,"Kelly, Robin L. [Rep.-D-IL-2]",05/15/2017
H.R. 2353,Strengthening Career and Technical Education for the 21st Century Act,"Thompson, Glenn [Rep.-R-PA-5]",05/04/2017
H.R. 2345,National Suicide Hotline Improvement Act of 2018,"Stewart, Chris [Rep.-R-UT-2]",05/03/2017
H.R. 2333,Small Business Investment Opportunity Act of 2017,"Knight, Stephen [Rep.-R-CA-25]",05/03/2017
H.R. 2331,Connected Government Act,"Kelly, Robin L. [Rep.-D-IL-2]",05/03/2017
H.R. 2302,"To designate the facility of the United States Postal Service located at 259 Nassau Street, Suite 2 in Princeton, New Jersey, as the ""Dr. John F. Nash, Jr. Post Office"".","Watson Coleman, Bonnie [Rep.-D-NJ-12]",05/02/2017
H.R. 2292,To extend a project of the Federal Energy Regulatory Commission involving the Cannonsville Dam.,"Faso, John J. [Rep.-R-NY-19]",05/02/2017
H.R. 2288,Veterans Appeals Improvement and Modernization Act of 2017,"Bost, Mike [Rep.-R-IL-12]",05/02/2017
H.R. 2266,"Additional Supplemental Appropriations for Disaster Relief Requirements Act, 2017","Conyers, John, Jr. [Rep.-D-MI-13]",05/01/2017
H.R. 2259,Sam Farr and Nick Castle Peace Corps Reform Act of 2018,"Poe, Ted [Rep.-R-TX-2]",05/01/2017
H.R. 2254,"To designate the facility of the United States Postal Service located at 2635 Napa Street in Vallejo, California, as the ""Janet Capello Post Office Building"".","Thompson, Mike [Rep.-D-CA-5]",04/28/2017
H.R. 2229,All Circuit Review Act,"Cummings, Elijah E. [Rep.-D-MD-7]",04/28/2017
H.R. 2228,Law Enforcement Mental Health and Wellness Act of 2017,"Brooks, Susan W. [Rep.-R-IN-5]",04/28/2017
H.R. 2210,"To designate the community living center of the Department of Veterans Affairs in Butler Township, Butler County, Pennsylvania, as the ""Sergeant Joseph George Kusick VA Community Living Center"".","Kelly, Mike [Rep.-R-PA-3]",04/27/2017
H.R. 2200,Frederick Douglass Trafficking Victims Prevention and Protection Reauthorization Act of 2018,"Smith, Christopher H. [Rep.-R-NJ-4]",04/27/2017
H.R. 2154,"To rename the Red River Valley Agricultural Research Center in Fargo, North Dakota, as the Edward T. Schafer Agricultural Research Center.","Cramer, Kevin [Rep.-R-ND-At Large]",04/26/2017
H.R. 2147,Veterans Treatment Court Improvement Act of 2018,"Coffman, Mike [Rep.-R-CO-6]",04/26/2017
H.R. 2142,INTERDICT Act,"Tsongas, Niki [Rep.-D-MA-3]",04/25/2017
H.R. 2122,To reinstate and extend the deadline for commencement of construction of a hydroelectric project involving Jennings Randolph Dam.,"McKinley, David B. [Rep.-R-WV-1]",04/25/2017
H.R. 2061,North Korean Human Rights Reauthorization Act of 2017,"Ros-Lehtinen, Ileana [Rep.-R-FL-27]",04/06/2017
H.R. 1988,"To designate the facility of the United States Postal Service located at 1730 18th Street in Bakersfield, California, as the ""Merle Haggard Post Office Building"".","McCarthy, Kevin [Rep.-R-CA-23]",04/06/2017
H.R. 1927,African American Civil Rights Network Act of 2017,"Clay, Wm. Lacy [Rep.-D-MO-1]",04/05/2017
H.R. 1918,Nicaragua Human Rights and Anticorruption Act of 2018,"Ros-Lehtinen, Ileana [Rep.-R-FL-27]",04/05/2017
H.R. 1900,National Veterans Memorial and Museum Act,"Stivers, Steve [Rep.-R-OH-15]",04/04/2017
H.R. 1892,Bipartisan Budget Act of 2018,"Larson, John B. [Rep.-D-CT-1]",04/04/2017
H.R. 1872,Reciprocal Access to Tibet Act of 2018,"McGovern, James P. [Rep.-D-MA-2]",04/04/2017
H.R. 1865,Allow States and Victims to Fight Online Sex Trafficking Act of 2017,"Wagner, Ann [Rep.-R-MO-2]",04/03/2017
H.R. 1861,Larry Doby Congressional Gold Medal Act,"Renacci, James B. [Rep.-R-OH-16]",04/03/2017
H.R. 1858,"To designate the facility of the United States Postal Service located at 4514 Williamson Trail in Liberty, Pennsylvania, as the ""Staff Sergeant Ryan Scott Ostrom Post Office"".","Marino, Tom [Rep.-R-PA-10]",04/03/2017
H.R. 1850,"To designate the facility of the United States Postal Service located at 907 Fourth Avenue in Lake Odessa, Michigan, as the ""Donna Sauers Besko Post Office"".","Amash, Justin [Rep.-R-MI-3]",04/03/2017
H.R. 1733,To direct the Secretary of Energy to review and update a report on the energy and environmental benefits of the re-refining of used lubricating oil.,"Brooks, Susan W. [Rep.-R-IN-5]",03/27/2017
H.R. 1725,To direct the Secretary of Veterans Affairs to submit certain reports relating to medical evidence submitted in support of claims for benefits under the laws administered by the Secretary.,"Walz, Timothy J. [Rep.-D-MN-1]",03/24/2017
H.R. 1719,John Muir National Historic Site Expansion Act,"DeSaulnier, Mark [Rep.-D-CA-11]",03/24/2017
H.R. 1679,"FEMA Accountability, Modernization and Transparency Act of 2017","Graves, Garret [Rep.-R-LA-6]",03/22/2017
H.R. 1660,Global Health Innovation Act of 2017,"Sires, Albio [Rep.-D-NJ-8]",03/21/2017
H.R. 1625,"Consolidated Appropriations Act, 2018","Royce, Edward R. [Rep.-R-CA-39]",03/20/2017
H.R. 1616,Strengthening State and Local Cyber Crime Fighting Act of 2017,"Ratcliffe, John [Rep.-R-TX-4]",03/17/2017
H.R. 1551,Orrin G. Hatch-Bob Goodlatte Music Modernization Act,"Rice, Tom [Rep.-R-SC-7]",03/15/2017
H.R. 1545,VA Prescription Data Accountability Act 2017,"Kuster, Ann M. [Rep.-D-NH-2]",03/15/2017
H.R. 1496,"To designate the facility of the United States Postal Service located at 3585 South Vermont Avenue in Los Angeles, California, as the ""Marvin Gaye Post Office"".","Bass, Karen [Rep.-D-CA-37]",03/10/2017
H.R. 1417,National Law Enforcement Museum Exhibits Act,"Young, Don [Rep.-R-AK-At Large]",03/07/2017
H.R. 1397,"To authorize, direct, facilitate, and expedite the transfer of administrative jurisdiction of certain Federal land, and for other purposes.","Comstock, Barbara [Rep.-R-VA-10]",03/07/2017
H.R. 1370,"An Act to amend the Homeland Security Act of 2002 to require the Secretary of Homeland Security to issue Department of Homeland Security-wide guidance and develop training programs as part of the Department of Homeland Security Blue Campaign, and for other purposes.","McCaul, Michael T. [Rep.-R-TX-10]",03/06/2017
H.R. 1362,"To name the Department of Veterans Affairs community-based outpatient clinic in Pago Pago, American Samoa, the Faleomavaega Eni Fa'aua'a Hunkin VA Clinic.","Radewagen, Aumua Amata Coleman [Del.-R-AS-At Large]",03/06/2017
H.R. 1329,Veterans' Compensation Cost-of-Living Adjustment Act of 2017,"Bost, Mike [Rep.-R-IL-12]",03/02/2017
H.R. 1318,Preventing Maternal Deaths Act of 2018,"Herrera Beutler, Jaime [Rep.-R-WA-3]",03/02/2017
H.R. 1306,Western Oregon Tribal Fairness Act,"DeFazio, Peter A. [Rep.-D-OR-4]",03/02/2017
H.R. 1301,"Continuing Appropriations Amendments Act, 2018","Frelinghuysen, Rodney P. [Rep.-R-NJ-11]",03/02/2017
H.R. 1242,400 Years of African-American History Commission Act,"Scott, Robert C. ""Bobby"" [Rep.-D-VA-3]",02/28/2017
H.R. 1238,Securing our Agriculture and Food Act,"Young, David [Rep.-R-IA-3]",02/28/2017
H.R. 1235,Naismith Memorial Basketball Hall of Fame Commemorative Coin Act,"Neal, Richard E. [Rep.-D-MA-1]",02/27/2017
H.R. 1228,"To provide for the appointment of members of the Board of Directors of the Office of Compliance to replace members whose terms expire during 2017, and for other purposes.","Harper, Gregg [Rep.-R-MS-3]",02/27/2017
H.R. 1222,Congenital Heart Futures Reauthorization Act of 2017,"Bilirakis, Gus M. [Rep.-R-FL-12]",02/27/2017
H.R. 1211,"To designate the facility of the United States Postal Service located at 400 N. Main Street, Encinal, Texas, as the ""Encinal Veterans Post Office"".","Cuellar, Henry [Rep.-D-TX-28]",02/21/2017
H.R. 1210,"To designate the facility of the United States Postal Service located at 122 W. Goodwin Street, Pleasanton, Texas, as the ""Pleasanton Veterans Post Office"".","Cuellar, Henry [Rep.-D-TX-28]",02/21/2017
H.R. 1209,"To designate the facility of the United States Postal Service located at 901 N. Francisco Avenue, Mission, Texas, as the ""Mission Veterans Post Office Building"".","Cuellar, Henry [Rep.-D-TX-28]",02/21/2017
H.R. 1208,"To designate the facility of the United States Postal Service located at 9155 Schaefer Road, Converse, Texas, as the ""Converse Veterans Post Office Building"".","Cuellar, Henry [Rep.-D-TX-28]",02/21/2017
H.R. 1207,"To designate the facility of the United States Postal Service located at 306 River Street in Tilden, Texas, as the ""Tilden Veterans Post Office"".","Cuellar, Henry [Rep.-D-TX-28]",02/21/2017
H.R. 1177,Removing Outdated Restrictions to Allow for Job Growth Act,"Poliquin, Bruce [Rep.-R-ME-2]",02/16/2017
H.R. 1162,No Hero Left Untreated Act,"Knight, Stephen [Rep.-R-CA-25]",02/16/2017
H.R. 1117,To require the Administrator of the Federal Emergency Management Agency to submit a report regarding certain plans regarding assistance to applicants and grantees during the response to an emergency or disaster.,"Hartzler, Vicky [Rep.-R-MO-4]",02/16/2017
H.R. 1109,To amend section 203 of the Federal Power Act.,"Walberg, Tim [Rep.-R-MI-7]",02/16/2017
H.R. 1074,"To repeal the Act entitled ""An Act to confer jurisdiction on the State of Iowa over offenses committed by or against Indians on the Sac and Fox Indian Reservation"".","Blum, Rod [Rep.-R-IA-1]",02/15/2017
H.R. 1037,"To authorize the National Emergency Medical Services Memorial Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes.","Lynch, Stephen F. [Rep.-D-MA-8]",02/14/2017
H.R. 984,Thomasina E. Jordan Indian Tribes of Virginia Federal Recognition Act of 2017,"Wittman, Robert J. [Rep.-R-VA-1]",02/07/2017
H.R. 954,"To remove the use restrictions on certain land transferred to Rockingham County, Virginia, and for other purposes.","Goodlatte, Bob [Rep.-R-VA-6]",02/07/2017
H.R. 951,To extend the deadline for commencement of construction of a hydroelectric project.,"Foxx, Virginia [Rep.-R-NC-5]",02/07/2017
H.R. 931,Firefighter Cancer Registry Act of 2018,"Collins, Chris [Rep.-R-NY-27]",02/07/2017
H.R. 873,Global War on Terrorism War Memorial Act,"Gallagher, Mike [Rep.-R-WI-8]",02/06/2017
H.R. 863,"To facilitate the addition of park administration at the Coltsville National Historical Park, and for other purposes.","Larson, John B. [Rep.-D-CT-1]",02/03/2017
H.R. 770,American Innovation $1 Coin Act,"Himes, James A. [Rep.-D-CT-4]",01/31/2017
H.R. 767,SOAR to Health and Wellness Act of 2018,"Cohen, Steve [Rep.-D-TN-9]",01/31/2017
H.R. 754,Anwar Sadat Centennial Celebration Act,"Stewart, Chris [Rep.-R-UT-2]",01/31/2017
H.R. 699,Mount Hood Cooper Spur Land Exchange Clarification Act,"Walden, Greg [Rep.-R-OR-2]",01/24/2017
H.R. 698,Elkhorn Ranch and White River National Forest Conveyance Act of 2017,"Tipton, Scott  R. [Rep.-R-CO-3]",01/24/2017
H.R. 672,Combating European Anti-Semitism Act of 2017,"Lowey, Nita M. [Rep.-D-NY-17]",01/24/2017
H.R. 657,Follow the Rules Act,"Duffy, Sean P. [Rep.-R-WI-7]",01/24/2017
H.R. 624,Social Security Number Fraud Prevention Act of 2017,"Valadao, David G. [Rep.-R-CA-21]",01/24/2017
H.R. 609,"To designate the Department of Veterans Affairs health care center in Center Township, Butler County, Pennsylvania, as the ""Abie Abraham VA Clinic"".","Kelly, Mike [Rep.-R-PA-3]",01/23/2017
H.R. 606,"To designate the facility of the United States Postal Service located at 1025 Nevin Avenue in Richmond, California, as the ""Harold D. McCraw, Sr., Post Office Building"".","DeSaulnier, Mark [Rep.-D-CA-11]",01/23/2017
H.R. 601,"Continuing Appropriations Act, 2018 and Supplemental Appropriations for Disaster Relief Requirements Act, 2017","Lowey, Nita M. [Rep.-D-NY-17]",01/23/2017
H.R. 589,Department of Energy Research and Innovation Act,"Smith, Lamar [Rep.-R-TX-21]",01/20/2017
H.R. 582,Kari's Law Act of 2017,"Gohmert, Louie [Rep.-R-TX-1]",01/17/2017
H.R. 560,"To amend the Delaware Water Gap National Recreation Area Improvement Act to provide access to certain vehicles serving residents of municipalities adjacent to the Delaware Water Gap National Recreation Area, and for other purposes.","Marino, Tom [Rep.-R-PA-10]",01/13/2017
H.R. 535,Taiwan Travel Act,"Chabot, Steve [Rep.-R-OH-1]",01/13/2017
H.R. 534,U.S. Wants to Compete for a World Expo Act,"Emmer, Tom [Rep.-R-MN-6]",01/13/2017
H.R. 518,EPS Improvement Act of 2017,"DeGette, Diana [Rep.-D-CO-1]",01/13/2017
H.R. 510,Rapid DNA Act of 2017,"Sensenbrenner, F. James, Jr. [Rep.-R-WI-5]",01/12/2017
H.R. 452,"To designate the facility of the United States Postal Service located at 324 West Saint Louis Street in Pacific, Missouri, as the ""Specialist Jeffrey L. White, Jr. Post Office"".","Luetkemeyer, Blaine [Rep.-R-MO-3]",01/11/2017
H.R. 447,To extend the deadline for commencement of construction of a hydroelectric project.,"Griffith, H. Morgan [Rep.-R-VA-9]",01/11/2017
H.R. 446,To extend the deadline for commencement of construction of a hydroelectric project.,"Griffith, H. Morgan [Rep.-R-VA-9]",01/11/2017
H.R. 390,Iraq and Syria Genocide Relief and Accountability Act of 2018,"Smith, Christopher H. [Rep.-R-NJ-4]",01/10/2017
H.R. 381,"To designate a mountain in the John Muir Wilderness of the Sierra National Forest as ""Sky Point"".","McClintock, Tom [Rep.-R-CA-4]",01/09/2017
H.R. 375,"To designate the Federal building and United States courthouse located at 719 Church Street in Nashville, Tennessee, as the ""Fred D. Thompson Federal Building and United States Courthouse"".","Blackburn, Marsha [Rep.-R-TN-7]",01/09/2017
